0,1
1955,1
1960,1
1963,1
1964,2
1965,4
1966,1
1967,2
1968,4
1969,3
1970,3
1971,2
1972,6
1973,6
1974,5
1975,4
1976,7
1977,11
1978,18
1979,16
1980,12
1981,13
1982,26
1983,21
1984,25
1985,26
1986,38
1987,44
1988,47
1989,59
1990,105
1991,75
1992,139
1993,115
1994,193
1995,166
1996,271
1997,304
1998,325
1999,441
2000,350
2001,455
2002,537
2003,628
2004,664
2005,681
2006,721
2007,619
2008,935
2009,963
2010,842
2011,844
2012,1054
2013,1697
2014,2078
2015,2032
2016,2247
2017,2671
2018,3157
2019,4294
2020,4298
2021,313
